time_s,body_x_m,o1,o2,support_legs
9.500000,2.349352,-0.064119,-0.815138,3.000000
9.550000,2.372772,-0.489939,-0.724916,3.000000
9.600000,2.387325,-0.754543,-0.516485,3.000000
9.650000,2.391254,-0.825965,-0.176073,3.000000
9.700000,2.391254,-0.788109,0.255173,3.000000
9.750000,2.398756,-0.651705,0.631761,3.000000
9.800000,2.413438,-0.384765,0.803367,3.000000
9.850000,2.434812,0.003869,0.820379,3.000000
9.900000,2.458630,0.436919,0.743443,3.000000
9.950000,2.474829,0.731447,0.553353,3.000000
10.000000,2.479919,0.823988,0.229957,3.000000
10.050000,2.479919,0.798542,-0.194245,3.000000
10.100000,2.486563,0.677740,-0.590816,3.000000
10.150000,2.500217,0.429489,-0.791274,3.000000
10.200000,2.520799,0.055265,-0.823986,3.000000
10.250000,2.544794,-0.381005,-0.759821,3.000000
10.300000,2.562571,-0.704229,-0.587599,3.000000
10.350000,2.568935,-0.819935,-0.281787,3.000000
10.400000,2.568935,-0.807269,0.132989,3.000000
10.450000,2.574766,-0.701260,0.545638,3.000000
10.500000,2.587388,-0.471772,0.776003,3.000000
10.550000,2.607122,-0.112968,0.825913,3.000000
10.600000,2.631089,0.322808,0.774180,3.000000
10.650000,2.650333,0.672688,0.619200,3.000000
10.700000,2.658083,0.813593,0.331444,3.000000
10.750000,2.658083,0.814344,-0.071944,3.000000
10.800000,2.663141,0.722366,-0.496531,3.000000
10.850000,2.674737,0.511546,-0.757233,3.000000
10.900000,2.693577,0.168989,-0.826078,3.000000
10.950000,2.717335,-0.262969,-0.786637,3.000000
11.000000,2.737891,-0.636718,-0.648163,3.000000
11.050000,2.747131,-0.804711,-0.378830,3.000000
11.100000,2.747131,-0.819795,0.011576,3.000000
11.150000,2.751455,-0.741179,0.443925,3.000000
11.200000,2.762038,-0.548750,0.734649,3.000000
11.250000,2.779947,-0.223127,0.824355,3.000000
11.300000,2.803336,0.202125,0.797295,3.000000
11.350000,2.825018,0.596334,0.674528,3.000000
11.400000,2.835835,0.793004,0.423862,3.000000
11.450000,2.837518,0.823614,0.047720,3.000000
11.500000,2.837518,0.757827,-0.388351,3.000000
11.550000,2.847115,0.583335,-0.707975,3.000000
11.600000,2.864061,0.275229,-0.820581,3.000000
11.650000,2.886947,-0.140880,-0.806238,3.000000
11.700000,2.909541,-0.551687,-0.698367,3.000000
11.750000,2.921997,-0.778160,-0.466464,3.000000
11.800000,2.924616,-0.825762,-0.105623,3.000000
11.850000,2.924616,-0.772439,0.330412,3.000000
11.900000,2.933259,-0.615277,0.676999,3.000000
11.950000,2.949215,-0.325171,0.814547,3.000000
12.000000,2.971488,0.079780,0.813524,3.000000
12.050000,2.994768,0.503065,0.719778,3.000000
12.100000,3.008892,0.759859,0.506565,3.000000
12.150000,3.012538,0.826159,0.161873,3.000000
12.200000,3.012538,0.785135,-0.270748,3.000000
12.250000,3.020269,0.644579,-0.641601,3.000000
12.300000,3.035214,0.372855,-0.806007,3.000000
12.350000,3.056782,-0.019302,-0.819183,3.000000
12.400000,3.080519,-0.450881,-0.738879,3.000000
12.450000,3.096299,-0.737783,-0.544102,3.000000
12.500000,3.101079,-0.824689,-0.216264,3.000000
12.550000,3.101079,-0.796020,0.209999,3.000000
12.600000,3.107940,-0.671275,0.601781,3.000000
12.650000,3.121859,-0.418195,0.794681,3.000000
12.700000,3.142651,-0.040153,0.823214,3.000000
12.750000,3.166621,0.395657,0.755799,3.000000
12.800000,3.184001,0.711650,0.579027,3.000000
12.850000,3.190025,0.821189,0.268635,3.000000
12.900000,3.190025,0.805180,-0.148774,3.000000
12.950000,3.196061,0.695434,-0.557670,3.000000
13.000000,3.208949,0.461114,-0.780260,3.000000
13.050000,3.228906,0.098251,-0.825581,3.000000
13.100000,3.252899,-0.337987,-0.770666,3.000000
13.150000,3.271778,-0.681237,-0.611310,3.000000
13.200000,3.279160,-0.815459,-0.318862,3.000000
13.250000,3.279160,-0.812677,0.087627,3.000000
13.300000,3.284414,-0.717152,0.509539,3.000000
13.350000,3.296273,-0.501541,0.762422,3.000000
13.400000,3.315348,-0.154726,0.826210,3.000000
13.450000,3.339176,0.278509,0.783602,3.000000
13.500000,3.359410,0.646412,0.640951,3.000000
13.550000,3.368257,0.807258,0.366841,3.000000
13.600000,3.368257,0.818545,-0.027044,3.000000
13.650000,3.372767,0.736543,-0.457787,3.000000
13.700000,3.383609,0.539412,-0.740849,3.000000
13.750000,3.401762,0.209366,-0.824988,3.000000
13.800000,3.425259,-0.217865,-0.794716,3.000000
13.850000,3.446670,-0.607156,-0.667980,3.000000
13.900000,3.457074,-0.796307,-0.412487,3.000000
13.950000,3.458530,-0.822787,-0.032562,3.000000
14.000000,3.458530,-0.753737,0.402922,3.000000
14.050000,3.468378,-0.574675,0.715253,3.000000
14.100000,3.485575,-0.262006,0.821760,3.000000
14.150000,3.508602,0.156669,0.804094,3.000000
14.200000,3.530983,0.563586,0.692461,3.000000
14.250000,3.543012,0.782303,0.455722,3.000000
14.300000,3.545381,0.825372,0.090852,3.000000
14.350000,3.545381,0.768862,-0.345533,3.000000
14.400000,3.554267,0.607299,-0.685401,3.000000
14.450000,3.570480,0.312514,-0.816331,3.000000
14.500000,3.592920,-0.095483,-0.811803,3.000000
14.550000,3.616046,-0.515953,-0.714487,3.000000
14.600000,3.629739,-0.764923,-0.496474,3.000000
14.650000,3.633111,-0.826230,-0.147549,3.000000
14.700000,3.633111,-0.782040,0.286251,3.000000
14.750000,3.641073,-0.637279,0.651148,3.000000
14.800000,3.656280,-0.360789,0.808463,3.000000
14.850000,3.678037,0.034803,0.817880,3.000000
14.900000,3.701679,0.464641,0.734171,3.000000
14.950000,3.717035,0.743849,0.534678,3.000000
15.000000,3.721512,0.825254,0.202435,3.000000
15.050000,3.721512,0.793383,-0.225722,3.000000
15.100000,3.728593,0.664642,-0.612460,3.000000
15.150000,3.742778,0.406740,-0.797883,3.000000
15.200000,3.763776,0.024950,-0.822333,3.000000
15.250000,3.787706,-0.410146,-0.751640,3.000000
15.300000,3.804682,-0.718786,-0.570280,3.000000
15.350000,3.810375,-0.822295,-0.255341,3.000000
15.400000,3.810375,-0.802981,0.164564,3.000000
15.450000,3.816619,-0.689447,0.569434,3.000000
15.500000,3.829773,-0.450290,0.784290,3.000000
15.550000,3.849950,-0.083426,0.825134,3.000000
15.600000,3.873956,0.353046,0.767025,3.000000
15.650000,3.892461,0.689492,0.603245,3.000000
15.700000,3.899482,0.817162,0.306130,3.000000
15.750000,3.899482,0.810902,-0.103348,3.000000
15.800000,3.904934,0.711783,-0.522306,3.000000
15.850000,3.917057,0.491366,-0.767363,3.000000
15.900000,3.936363,0.140341,-0.826220,3.000000
15.950000,3.960251,-0.293973,-0.780447,3.000000
16.000000,3.980152,-0.655811,-0.633565,3.000000
16.050000,3.988611,-0.809622,-0.354698,3.000000
16.100000,3.988611,-0.817188,0.042577,3.000000
16.150000,3.993310,-0.731762,0.471442,3.000000
16.200000,4.004412,-0.529901,0.746782,3.000000
16.250000,4.022806,-0.195472,0.825488,3.000000
16.300000,4.046403,0.233569,0.792021,3.000000
16.350000,4.067530,0.617691,0.661262,3.000000
16.400000,4.077524,0.799409,0.400953,3.000000
16.450000,4.078758,0.821851,0.017316,3.000000
16.500000,4.078758,0.749509,-0.417326,3.000000
16.550000,4.088860,0.565840,-0.722248,3.000000
16.600000,4.106306,0.248640,-0.822794,3.000000
16.650000,4.129467,-0.172459,-0.801839,3.000000
16.700000,4.151618,-0.575214,-0.686391,3.000000
16.750000,4.163224,-0.786222,-0.444816,3.000000
16.800000,4.165349,-0.824867,-0.075974,3.000000
16.850000,4.165349,-0.765155,0.360528,3.000000
16.900000,4.174480,-0.599146,0.693511,3.000000
16.950000,4.190949,-0.299709,0.817953,3.000000
17.000000,4.213550,0.111220,0.809974,3.000000
17.050000,4.236505,0.528597,0.709040,3.000000
17.100000,4.249769,0.769743,0.486215,3.000000
17.150000,4.252873,0.826179,0.133104,3.000000
17.200000,4.252873,0.778824,-0.301672,3.000000
17.250000,4.261069,0.629806,-0.660400,3.000000
17.300000,4.276537,0.348568,-0.810738,3.000000
17.350000,4.298478,-0.050366,-0.816469,3.000000
17.400000,4.322008,-0.478190,-0.729316,3.000000
17.450000,4.336939,-0.749650,-0.525080,3.000000
17.500000,4.341121,-0.825689,-0.188475,3.000000
17.550000,4.341121,-0.790630,0.241404,3.000000
17.600000,4.348424,-0.657839,0.622850,3.000000
17.650000,4.362873,-0.395126,0.800885,3.000000
17.700000,4.384074,-0.009662,0.821342,3.000000
17.750000,4.407951,0.424462,0.747343,3.000000
17.800000,4.424516,0.725640,0.561357,3.000000
17.850000,4.429885,0.823257,0.241905,3.000000
17.900000,4.429885,0.800670,-0.180351,3.000000
17.950000,4.436340,0.683295,-0.580925,3.000000
18.000000,4.449760,0.439302,-0.788098,3.000000
18.050000,4.470154,0.068496,-0.824573,3.000000
18.100000,4.494160,-0.367975,-0.763253,3.000000
18.150000,4.512281,-0.697456,-0.595003,3.000000
18.200000,4.518950,-0.818705,-0.293251,3.000000
18.250000,4.518950,-0.809018,0.119098,3.000000
18.300000,4.524602,-0.706257,0.534824,3.000000
18.350000,4.536990,-0.481021,0.772062,3.000000
18.400000,4.556525,-0.125838,0.826109,3.000000
18.450000,4.580460,0.309348,0.777170,3.000000
18.500000,4.600016,0.664914,0.626004,3.000000
18.550000,4.608096,0.811810,0.342400,3.000000
18.600000,4.608096,0.815724,-0.058169,3.000000
